"(28.2, 30.45, 21.45)"
"(28.799999999999997, 28.799999999999997, 22.349999999999998)"
"(28.5, 29.849999999999998, 24.45)"
"(31.5, 27.9, 20.4)"
"(32.55, 25.65, 21.15)"
"(31.349999999999998, 28.05, 25.65)"
"(33.3, 25.95, 23.7)"
"(32.85, 25.95, 25.8)"
"(36.3, 24.75, 19.2)"
"(35.4, 24.9, 25.05)"
"(36.75, 22.5, 23.4)"
"(36.9, 24.15, 26.4)"
"(37.35, 24.0, 23.099999999999998)"
"(36.449999999999996, 24.9, 26.4)"
"(37.05, 24.3, 23.849999999999998)"
"(39.75, 20.849999999999998, 23.25)"
"(40.05, 20.4, 25.05)"
"(42.6, 18.599999999999998, 20.4)"
"(43.35, 20.4, 21.15)"
"(40.8, 19.65, 27.15)"
"(41.1, 21.15, 27.15)"
"(43.199999999999996, 19.05, 25.2)"
"(43.5, 16.5, 25.95)"
"(43.8, 17.7, 28.349999999999998)"
"(45.9, 14.1, 24.0)"
"(44.55, 15.75, 25.65)"
